,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/abr.,3705,1212,1551,6468,,2921,833,816,4570
2/abr.,4462,1313,2102,7877,,3032,785,1064,4881
3/abr.,4786,1373,2248,8407,,3080,780,1044,4904
4/abr.,2413,758,976,4147,,2048,475,510,3033
5/abr.,,,2034,2034,,,,662,662
6/abr.,,,1415,1415,,,,,0
7/abr.,4071,1298,1892,7261,,3064,758,1038,4860
8/abr.,4592,1430,2146,8168,,3146,846,1139,5131
9/abr.,3916,1211,1691,6818,,3419,878,1276,5573
10/abr.,4602,1318,2084,8004,,2760,769,885,4414
11/abr.,3744,1190,1713,6647,,2380,631,766,3777
12/abr.,,,1218,1218,,,,711,711
13/abr.,,,1341,1341,,,,0,0
14/abr.,3666,1185,1487,6338,,3326,808,657,4791
15/abr.,4691,1406,1353,7450,,2843,764,576,4183
16/abr.,3690,1219,1082,5991,,2238,553,436,3227
17/abr.,,,1061,1061,,,,478,478
18/abr.,,,370,370,,,,0,0
19/abr.,,,506,506,,,,364,364
20/abr.,,,497,497,,,,0,0
21/abr.,,,575,575,,,,289,289
22/abr.,3900,1299,1139,6338,,3105,814,739,4658
23/abr.,4367,1347,1232,6946,,2997,854,624,4475
24/abr.,3982,1350,1187,6519,,2914,820,625,4359
25/abr.,1976,1270,1657,4903,,2301,629,676,3606
26/abr.,3092,,,3092,,1171,,0,1171
27/abr.,1881,,,1881,,,,0,0
28/abr.,3882,1323,1089,6294,,3018,863,595,4476
29/abr.,4252,1402,1191,6845,,2626,843,736,4205
30/abr.,3986,1278,1137,6401,,2178,569,470,3217
