,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/jun.,,,1035,1035,,,,328,328
2/jun.,,,992,992,,,,,0
3/jun.,3429,1219,1525,6173,,3221,922,1410,5553
4/jun.,2507,915,1122,4544,,2470,780,1019,4269
5/jun.,3991,1373,1933,7297,,2869,814,1021,4704
6/jun.,3599,1338,1700,6637,,2824,867,1036,4727
7/jun.,3397,1158,1350,5905,,1915,596,605,3116
8/jun.,,,2025,2025,,,,418,418
9/jun.,,,1706,1706,,,,,0
10/jun.,3554,1291,1674,6519,,2794,819,1097,4710
11/jun.,3654,1297,1777,6728,,2848,870,1144,4862
12/jun.,3675,1286,1744,6705,,2255,681,768,3704
13/jun.,3471,1243,1499,6213,,1262,341,479,2082
14/jun.,3261,1162,1468,5891,,2193,544,647,3384
15/jun.,,,1977,1977,,,,895,895
16/jun.,,,1428,1428,,,,,0
17/jun.,2317,823,1010,4150,,2481,753,874,4108
18/jun.,3512,1261,1580,6353,,2783,882,1106,4771
19/jun.,4016,1313,1868,7197,,2387,650,915,3952
20/jun.,6730,1320,1674,9724,,3309,841,953,5103
21/jun.,4098,1206,1928,7232,,2198,579,630,3407
22/jun.,,,1725,1725,,,,1185,1185
23/jun.,,,863,863,,,,,0
24/jun.,3583,1159,1339,6081,,2470,695,725,3890
25/jun.,3755,1163,1633,6551,,2498,715,807,4020
26/jun.,3779,1257,1541,6577,,2533,594,755,3882
27/jun.,3356,1023,1232,5611,,1263,318,350,1931
28/jun.,3326,934,1198,5458,,1748,427,433,2608
29/jun.,,,1382,1382,,,,492,492
30/jun.,,,1058,1058,,,,,0
