,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/mar.,3503,1156,1163,5822,,1856,461,309,2626
2/mar.,,,,0,,,,,0
3/mar.,,,,0,,,,,0
4/mar.,4373,1299,1768,7440,,3294,759,751,4804
5/mar.,3352,1022,1111,5485,,3054,815,942,4811
6/mar.,4694,1384,1846,7924,,3112,824,808,4744
7/mar.,4636,1415,1820,7871,,2953,802,847,4602
8/mar.,4296,1200,1455,6951,,2414,613,583,3610
9/mar.,,,,0,,,,,0
10/mar.,,,,0,,,,,0
11/mar.,4254,1404,1788,7446,,3188,923,1167,5278
12/mar.,4578,1460,2374,8412,,2937,894,1155,4986
13/mar.,4370,1387,1867,7624,,3131,901,1104,5136
14/mar.,4346,1288,1744,7378,,2884,811,1090,4785
15/mar.,3850,1232,1464,6546,,2093,544,556,3193
16/mar.,,,,0,,,,,0
17/mar.,,,,0,,,,,0
18/mar.,4100,1399,2002,7501,,3145,893,1084,5122
19/mar.,4600,1411,2021,8032,,3316,927,1179,5422
20/mar.,4348,1343,1904,7595,,2017,514,588,3119
21/mar.,4466,1402,2003,7871,,2800,890,953,4643
22/mar.,4031,1323,1657,7011,,2291,614,610,3515
23/mar.,,,,0,,,,,0
24/mar.,,,,0,,,,,0
25/mar.,4354,1358,1837,7549,,3336,854,1021,5211
26/mar.,4171,1573,2245,7989,,2650,801,954,4405
27/mar.,4194,1350,1818,7362,,2500,690,769,3959
28/mar.,,,,0,,,,,0
29/mar.,,,,0,,,,,0
30/mar.,,,,0,,,,,0
31/mar.,,,,0,,,,,0
