,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/mai.,,,1946,1946,,,,,0
2/mai.,3909,1423,1813,7145,,2722,806,982,4510
3/mai.,3616,1243,1560,6419,,2312,640,727,3679
4/mai.,,,1114,1114,,,,983,983
5/mai.,,,1352,1352,,,,,0
6/mai.,4024,1380,1879,7283,,3232,896,1341,5469
7/mai.,4077,1439,1991,7507,,2884,864,1134,4882
8/mai.,4330,1353,1962,7645,,2850,866,1078,4794
9/mai.,4021,1334,1840,7195,,2784,789,968,4541
10/mai.,2250,682,836,3768,,1792,487,485,2764
11/mai.,,,1131,1131,,,,405,405
12/mai.,,,858,858,,,,,0
13/mai.,3778,1338,1792,6908,,2672,709,950,4331
14/mai.,3925,1351,1845,7121,,3025,823,1129,4977
15/mai.,3196,1324,2024,6544,,2521,805,977,4303
16/mai.,2343,749,959,4051,,2723,936,710,4369
17/mai.,4263,1213,2059,7535,,2298,619,635,3552
18/mai.,,,1727,1727,,,,510,510
19/mai.,,,1323,1323,,,,,0
20/mai.,3228,1152,1447,5827,,2545,780,877,4202
21/mai.,3576,1205,1445,6226,,2277,564,645,3486
22/mai.,3847,1364,1947,7158,,2953,866,1079,4898
23/mai.,4090,1267,1696,7053,,2812,840,1059,4711
24/mai.,3553,1025,1350,5928,,2028,470,541,3039
25/mai.,,,1893,1893,,,,688,688
26/mai.,,,912,912,,,,,0
27/mai.,2994,793,913,4700,,2682,748,858,4288
28/mai.,3511,1403,1479,6393,,1401,494,367,2262
29/mai.,3779,1263,1600,6642,,2042,598,546,3186
30/mai.,,,1212,1212,,,,,0
31/mai.,,,1352,1352,,,,885,885
