date,date,refeicao,acompanhamento,restaurante,,prato,guarnicao,opcao_vegetal,salada,sobremesa,suco
2024-11-03,03/11/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,FEIJAO BRANCO,FEIJÃO BRANCO COM TOMATE E ORÉGANO,ACELGA AO ALHO,,SALADA DE AGRIÃO,BANANA,REFRESCO DE CAJÚ
2024-11-02,02/11/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,ISCAS DE CARNE AO MOLHO ROTY,CENOURA REFOGADA (RS) / ABOBRINHA REFOGADA (HC),,SALADA DE RÚCULA COM RODELAS DE CEBOLA,LARANJA,REFRESCO DE GOIABA
2024-11-02,02/11/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,GRAO DE BICO,GRÃO DE BICO COM BRÓCOLIS,CENOURA REFOGADA (RS) / ABOBRINHA REFOGADA (HC),,SALADA DE RÚCULA COM CEBOLA EM RODELAS,LARANJA,REFRESCO DE GOIABA
2024-11-02,02/11/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,LINGUIÇA,LINGUIÇA DE FRANGO AO VINAGRETE QUENTE,PURÊ DE BATATA,,SALADA DE ALFACE,MAÇÃ,REFRESCO DE GOIABA
2024-11-02,02/11/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,ERVILHA PARTIDA COM CARÁ,CENOURA REFOGADA,,SALADA DE ALFACE,MAÇÃ,REFRESCO DE GOIABA
2024-11-01,01/11/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE MOÍDA COM MILHO,TUTU DE FEIJÃO (COM CALABRESA E BACON),,SALADA MIX DE FOLHAS,MAÇÃ,MARACUJÁ
2024-11-01,01/11/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,"TORTA MADALENA (ERVILHA PARTIDA, PURÊ DE BATATA E TOMATE)","TUTU DE FEIJÃO VEGANO (FEIJÃO CARIOCA, FARINHA DE MANDIOCA E FARINHA DE MILHO)",,SALADA MIX DE FOLHAS,MAÇÃ,REFRESCO DE MARACUJÁ
2024-11-01,01/11/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE ASSADA AO MOLHO,VIRADO DE BANANA,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE MARACUJÁ
2024-11-01,01/11/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,SOJA,SOJA EM GRÃO COM AZEITONA E TOMATE,VIRADO DE BANANA,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE MARACUJÁ
2024-10-31,31/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE ASSADA AO MOLHO ROTY / ISCAS DE CARNE AO MOLHO ROTY (RU),POLENTA AO SUGO,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE PÊSSEGO
2024-10-31,31/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,PTS,PTS COM QUIABO E ERVAS,POLENTA AO SUGO,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE PÊSSEGO
2024-10-31,31/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,FILEZINHO DE FRANGO AO MOLHO ESCURO,QUIABO REFOGADO,,"SALADA DE RABANETE, TOMATE E CEBOLA",BANANA,REFRESCO DE PÊSSEGO
2024-10-31,31/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,GRAO DE BICO,GRÃO DE BICO COM MANDIOQUINHA,QUIABO REFOGADO,,"SALADA DE RABANETE, TOMATE E CEBOLA",BANANA,REFRESCO DE PÊSSEGO
2024-10-30,30/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,FILEZINHO DE FRANGO COM MILHO E AZEITONAS,REPOLHO REFOGADO,,SALADA DE PEPINO,DOCE DE LEITE / GOIABINHA,REFRESCO DE ACEROLA
2024-10-30,30/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,FEIJAO BRANCO,FEIJÃO BRANCO COM BERINJELA AO SUGO,REPOLHO REFOGADO,,SALADA DE PEPINO,BANANA,REFRESCO DE ACEROLA
2024-10-30,30/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,BIFE ACEBOLADO,ARROZ A GREGA,,MIX DE FOLHAS (AGRIÃO COM REPOLHO),LARANJA,REFRESCO DE ACEROLA
2024-10-30,30/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,LENTILHA COM VAGEM,ARROZ Á GREGA,,MIX DE FOLHAS (AGRIÃO COM REPOLHO),LARANJA,REFRESCO DE ACEROLA
2024-10-29,29/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,BIFE Á FRANCESA,BATATA SAUTÉ,,SALADA DE ACELGA COM BETERRABA RALADA,LARANJA,REFRESCO DE LIMÃO
2024-10-29,29/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,SOJA,SOJA EM GRÃOS COM BRÓCOLIS,BATATA REFOGADA,,SALADA DE ACELGA COM BETERRABA RALADA,LARANJA,REFRESCO DE LIMÃO
2024-10-29,29/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,SOBRECOXA,SOBRECOXA DE FRANGO ASSADA,CENOURA REFOGADA (RU) / QUIBEBE (RA/RS/HC),,SALADA COUVE,MAÇÃ,REFRESCO DE LIMÃO
2024-10-29,29/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,ERVILHA PARTIDA COM CENOURA,CENOURA REFOGADA (RU) / QUIBEBE (RA/RS/HC),,SALADA DE COUVE,MAÇÃ,REFRESCO DE LIMÃO
2024-10-28,28/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,SOBRECOXA,SOBRECOXA DE FRANGO ASSADA AO MOLHO DE GENGIBRE,ESCAROLA REFOGADA (RS) / CHUCHU COM MILHO (HC),,SALADA DE RÚCULA COM CEBOLA RODELAS,MAÇÃ,REFRESCO DE LARANJA
2024-10-28,28/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,LENTILHA  COM ABÓBORA CABOTIÁ,ESCAROLA REFOGADA (RS) / CHUCHU COM MILHO (HC),,SALADA DE RÚCULA COM CEBOLA RODELAS,MAÇÃ,REFRESCO DE LARANJA
2024-10-28,28/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,"ISCAS DE CARNE À ROMANESCA (APRESUNTADO, CHAMPIGNON E ERVILHA)",ABOBRINHA REFOGADA,,SALADA DE ALFACE,BANANA,REFRESCO DE LARANJA
2024-10-28,28/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,KIBE,QUIBE DE BERINJELA COM GRÃO DE BICO,ABOBRINHA REFOGADA,,SALADA DE ALFACE,BANANA,REFRESCO DE LARANJA
2024-10-27,27/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,STROGNOFES,STROGONOFF DE CARNE,BATATA PALHA (HC) BATATA REFOGADA - (RS),,SALADA DE CENOURA RALADA,BANANA,REFRESCO DE UVA
2024-10-27,27/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,STROGONOFF VEGANO,STROGONOFF VEGANO,BATATA PALHA (HC) BATATA REFOGADA - (RS),,SALADA DE CENOURA RALADA,BANANA,REFRESCO DE UVA
2024-10-26,26/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE PORCO,CUBOS SUÍNO ACEBOLADO,ACELGA REFOGADA,,SALADA DE ALFACE COM RÚCULA,MAÇÃ,REFRESCO DE MARACUJÁ
2024-10-26,26/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,GRAO DE BICO,GRÃO DE BICO COM MANDIOCA,ACELGA REFOGADA,,SALADA DE ALFACE COM RÚCULA,MAÇÃ,REFRESCO DE MARACUJÁ
2024-10-26,26/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE EM CUBOS COM MANDIOQUINHA,CENOURA SAUTÉ,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE MARACUJÁ
2024-10-26,26/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,FEIJAO BRANCO,FEIJÃO BRANCO COM VAGEM E MILHO,CENOURA REFOGADA,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE MARACUJÁ
2024-10-25,25/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE EM CUBOS À POMODORO,QUIABO AO ALHO,,SALADA DE BETERRABA RALADA,LARANJA,REFRESCO DE GOIABA
2024-10-25,25/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,ERVILHA PARTIDA COM ABOBRINHA,QUIABO REFOGADO AO ALHO,,SALADA DE BETERRABA RALADA,LARANJA,REFRESCO DE GOIABA
2024-10-25,25/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,PEIXE,PEIXE AO MOLHO DE ERVAS (FILÉ DE PESCADA),CREME DE ESPINAFRE,,SALADA DE REPOLHO BICOLOR,BANANA,REFRESCO DE GOIABA
2024-10-25,25/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,"LENTILHA REFOGADA COM COUVE-FLOR, TOMATE E ORÉGANO",CREME DE ESPINAFRE,,SALADA DE REPOLHO BICOLOR,BANANA,REFRESCO DE GOIABA
2024-10-24,24/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,PEIXE,PEIXE AO MOLHO DE MARACUJÁ,BATATA RÚSTICA,,SALADA DE COUVE,BANANA,REFRESCO DE CAJU
2024-10-24,24/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,SOJA,"SOJA EM GRÃOS COM VAGEM, ABÓBORA, TOMATE E AZEITONAS PRETAS",BATATA RÚSTICA,,SALADA DE COUVE,BANANA,REFRESCO DE CAJU
2024-10-24,24/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,RU,CARNE DE VERMELHA,ISCA DE CARNE AO MOLHO DE CHAMPGNON (RU),CHUCHU REFOGADO,,"SALADA MIX DE FOLHAS (AGRIÃO, ALMEIRÃO E RÚCULA)",DOCE DE GOIABA,REFRESCO DE CAJU
2024-10-24,24/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,RA/RS,OUTROS,LAGARTO AO MOLHO DE CHAMPIGNON (RA/RS/HC),CHUCHU REFOGADO,,"SALADA MIX DE FOLHAS (AGRIÃO, ALMEIRÃO E RÚCULA)",DOCE DE GOIABA,REFRESCO DE CAJU
2024-10-24,24/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,GRAO DE BICO,GRÃO DE BICO COM CENOURA,CHCHU REFOGADO,,"SALADA MIX DE FOLHAS (AGRIÃO, ALMEIRÃO E RÚCULA)",DOCE DE GOIABA,REFRESCO DE CAJU
2024-10-23,23/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,PATINHO EM CUBOS COM MANDIOQUINHA,PURÊ DE BATATA,,SALADA DE REPOLHO COM CENOURA,BOLINHO DE CHOCOLATE,REFRESCO DE MANGA
2024-10-23,23/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,TORTA DE LENTILHA COM MANDIOQUINHA,PURÊ DE BATATA VEGANO,,SALADA DE REPOLHO COM CENOURA,LARANJA,REFRESCO DE MANGA
2024-10-23,23/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,SOBRECOXA,SOBRECOXA ASSADA,"ABOBRINHA COM TOMATE (RA, RS e HC) / COUVE REFOGADA (RU)",,SALADA DE AGRIÃO COM REPOLHO (RU) / TABULE (RA e HC) / AGRIÃO (RS),MAÇÃ,REFRESCO DE MANGA
2024-10-23,23/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,PTS,PTS COM ABÓBORA SECA,"ABOBRINHA COM TOMATE (RA, RS e HC) / COUVE REFOGADA (RU)",,SALADA DE AGRIÃO COM REPOLHO (RU) / TABULE (RA e HC) / AGRIÃO (RS),MAÇÃ,REFRESCO DE MANGA
2024-10-22,22/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE ASSADA AO MOLHO AGRIDOCE / BIFE AO MOLHO AGRIDOCE (RU),COUVE REFOGADA,,CENOURA RALADA,MAÇÃ,REFRESCO DE FRAMBOESA
2024-10-22,22/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,"LENTILHA XADREZ (CEBOLA, PIMENTÃO, TOMATE E ÓLEO DE GERGELIM)",COUVE REFOGADA,,CENOURA RALADA,MAÇÃ,REFRESCO DE FRAMBOESA
2024-10-22,22/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,PEITO DE FRANGO EM ISCAS COM QUIABO,MACARRÃO PARAFUSO AO SUCO,,SALADA DE BETERRABA COZIDA,BANANA / LARANJA (RU),REFRESCO DE FRAMBOESA
2024-10-22,22/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,ERVILHA PARTIDA AO VINAGRETE,MACARRÃO PARAFUSO INTEGRAL AO SUGO,,SALADA DE BETERRABA COZIDA,BANANA,REFRESCO DE FRAMBOESA
2024-10-21,21/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,FRANGO ENSOPADO,"FAROFA COLORIDA (CENOURA, ERVILHA, MILHO E TOMATE)",,"MIX DE FOLHAS (AGRIÃO, ALMEIRÃO E RÚCULA)",MAÇÃ (RU/RA) | BANANA (HC) / GOIABADA (RS),REFRESCO DE PÊSSEGO
2024-10-21,21/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,GRAO DE BICO,GRÃO DE BICO COM QUIABO E ERVAS,"FAROFA COLORIDA (CENOURA, ERVILHA, MILHO E TOMATE)",,"MIX DE FOLHAS (AGRIÃO, ALMEIRÃO E RÚCULA)",MAÇÃ (RU / RA) | BANANA (RS/HC),REFRESCO DE PÊSSEGO
2024-10-21,21/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE EM CUBOS COM AZEITONAS PRETAS,QUIBEBE,,ACELGA,LARANJA,REFRESCO DE PÊSSEGO
2024-10-21,21/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,FEIJAO BRANCO,FEIJÃO BRANCO COM COUVE FLOR,QUIBEBE,,ACELGA,LARANJA,REFRESCO DE PÊSSEGO
2024-10-20,20/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,ISCAS DE FRANGO AO SUGO,VAGEM REFOGADA,,SALADA DE REPOLHO BRANCO,LARANJA,MORANGO
2024-10-20,20/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,ERVILHA PARTIDA COM TOMATE E CARÁ,VAGEM REFOGADA,,SALADA DE REPOLHO BRANCO,LARANJA,MORANGO
2024-10-19,19/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,ACÉM EM CUBOS COM CALABRESA,LEGUMES REFOGADO,,"SALADA DE NABO, BETERRABA E RABANETE",MAÇÃ,REFRESCO DE ACEROLA
2024-10-19,19/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,PTS,PTS COM PALMITO CENOURA E MILHO,LEGUMES REFOGADO,,"SALADA DE NABO, BETERRABA E RABANETE",MAÇÃ,REFRESCO DE ACEROLA
2024-10-19,19/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE PORCO,PALETA SUÍNA AO MOLHO BARBECUE,POLENTA CREMOSA,,SALADA DE ALFACE COM RÚCULA,MELANCIA,REFRESCO DE ACEROLA
2024-10-19,19/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,LENTILHA À PORTUGUESA,POLENTA CREMOSA,,SALADA DE ALFACE COM RÚCULA,MELANCIA,REFRESCO DE ACEROLA
2024-10-18,18/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE PORCO,PALETA SUÍNA AO MOLHO DE LIMÃO,REPOLHO AO AÇAFRÃO,,SALADA DE ESCAROLA,"CURAU COM CANELA (RU, RA e HC) / GOIABADA (RS)",REFRESCO DE CAJÚ
2024-10-18,18/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,SOJA,SOJA EM GRÃO COM VAGEM,REPOLHO AO AÇAFRÃO,,SALADA DE ESCAROLA,TANGERINA,REFRESCO DE CAJÚ
2024-10-18,18/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,PEIXE,PEIXE AO CREME DE ESPINAFRE (FILÉ DE PESCADA),PIRÃO,,"SALADA DE CENOURA, BETERRABA E NABO RALADOS",BANANA,REFRESCO DE CAJÚ
2024-10-18,18/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,FEIJAO BRANCO,MOQUECA DE FEIJÃO BRANCO,PIRÃO,,"SALADA DE CENOURA, BETERRABA E NABO RALADOS",BANANA,REFRESCO DE CAJÚ
2024-10-17,17/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,PEIXE,PEIXE AO MOLHO DE MARACUJÁ,CENOURA PALITO COM ORÉGANO,,SALADA DE PEPINO COM HORTELÃ,BANANA (RA/RS) / MAÇÃ (RU),REFRESCO DE UVA
2024-10-17,17/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,GRAO DE BICO,GRÃO DE BICO COM BRÓCOLIS,CENOURA PALITO COM ORÉGANO,,SALADA DE PEPINO COM HORTELÃ,BANANA (RA/RS) / MAÇÃ (RU),REFRESCO DE UVA
2024-10-17,17/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,OUTROS,ALMÔNDEGA AO SUGO,BATATA PALHA,,SALADA DE REPOLHO BICOLOR,LARANJA,REFRESCO DE UVA
2024-10-17,17/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,RS/RA,ALMONDEGA,"ALMÔNDEGA DE SOJA AO SUGO (RS, RA e HC)",BATATA PALHA,,SALADA DE REPOLHO BICOLOR,LARANJA,REFRESCO DE UVA
2024-10-17,17/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,RU,SOJA,STEAK DE SOJA AO SUGO (RU),BATATA PALHA,,SALADA DE REPOLHO BICOLOR,LARANJA,REFRESCO DE UVA
2024-10-16,16/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CARNE ASSADA AO MOLHO ESCURO,COUVE REFOGADA,,SALADA DE ALMEIRÃO,LARANJA,REFRESCO DE LIMÃO
2024-10-16,16/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,LENTILHA COM MANDIOQUINHA,COUVE REFOGADA,,SALADA DE ALMEIRÃO,LARANJA,REFRESCO DE LIMÃO
2024-10-16,16/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,ISCA DE CARNE COM ABÓBORA,ABOBRINHA REFOGADA,,SALADA DE ALFACE COM RABANETE,MAÇÃ,REFRESCO DE LIMÃO
2024-10-16,16/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,FRICASSÊ VEGANO,ABOBRINHA REFOGADA,,SALADA DE ALFACE COM RABANETE,MAÇÃ,REFRESCO DE LIMÃO
2024-10-15,15/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,ISCAS DE CARNE ACEBOLADA,BATATA SAUTÉ,,SALADA DE RÚCULA COM AGRIÃO,MAÇÃ,REFRESCO DE MARACUJÁ
2024-10-15,15/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,FEIJAO BRANCO,FEIJÃO BRANCO COM CENOURA AO SUGO,BATATA REFOGADA,,SALADA DE RÚCULA COM AGRIÃO,MAÇÃ,REFRESCO DE MARACUJÁ
2024-10-15,15/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,FRANGO AO MOLHO SHOYU,VAGEM COM CENOURA,,SALADA DE BETERRABA COZIDA,LARANJA,REFRESCO DE MARACUJÁ
2024-10-15,15/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,GRAO DE BICO,GRÃO DE BICO XADREZ,VAGEM COM CENOURA,,SALADA DE BETERRABA COZIDA,LARANJA,REFRESCO DE MARACUJÁ
2024-10-14,14/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,FILÉZINHO DE FRANGO ACEBOLADO,CREME DE MILHO,,SALADA DE ALFACE,"BANANA (RA,HC) / MAÇÃ (RS/RU)",REFRESCO DE GOIABA
2024-10-14,14/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,PTS,PTS COM QUIABO E ERVAS,CREME DE MILHO VEGANO,,SALADA DE ALFACE,"BANANA (RU,RA,HC) / MAÇÃ (RS)",REFRESCO DE GOIABA
2024-10-14,14/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE PORCO,BISTECA SUÍNA AO MOLHO BARBECUE,QUIBEBE,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE GOIABA
2024-10-14,14/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,OUTROS VEGANO,ERVILHA PARTIDA COM TOMATE E MILHO,QUIBEBE,,SALADA DE ESCAROLA,LARANJA,REFRESCO DE GOIABA
2024-10-13,13/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE PORCO,BISTECA SUÍNA ASSADA,BERINJELA AO FORNO,,"MIX DE RALADOS (CENOURA, BETERRABA E NABO)",MAÇÃ,REFRESCO DE LARANJA
2024-10-13,13/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,SOJA,SOJA EM GRÃOS COM MANDIOCA,BERINJELA AO FORNO,,"MIX DE RALADOS (BETERRABA, CENOURA E NABO)",MAÇÃ,REFRESCO DE LARANJA
2024-10-12,12/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,BIFE AO MOLHO DE AZEITONAS VERDES,CENOURA SAUTÉ,,ACELGA,DOCE DE LEITE,REFRESCO DE MANGA
2024-10-12,12/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,KIBE,QUIBE DE GRÃO DE BICO,CENOURA REFOGADA,,ACELGA,BANANA,REFRESCO DE MANGA
2024-10-12,12/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,LINGUIÇA,LINGUIÇA TOSCANA ACEBOLADA,ESCAROLA AO ALHO,,ALFACE COM RÚCULA,LARANJA,REFRESCO DE MANGA
2024-10-12,12/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,PTS,PTS COM BATATA DOCE AO MOLHO MOSTARDA,ESCAROLA AO ALHO,,ALFACE COM RÚCULA,LARANJA,REFRESCO DE MANGA
2024-10-11,11/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,FILEZINHO DE FRANGO AO MOLHO SHOYO COM CEBOLA CARAMELIZADA,ABOBRINHA REFOGADA,,SALADA DE ACELGA,LARANJA,REFRESCO DE FRAMBOESA
2024-10-11,11/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,LENTILHA,LENTILHA COM MANDIOQUINHA,ABOBRINHA REFOGADA,,SALADA DE ACELGA,LARANJA,REFRESCO DE FRAMBOESA
2024-10-11,11/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE VERMELHA,CUBOS BOVINO COM MILHO E ERVILHA,VIRADO DE VAGEM,,CENOURA RALADA,MAÇÃ,REFRESCO DE FRAMBOESA
2024-10-11,11/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,SOJA,SOJA EM GRÃOS COM BRÓCOLIS,VIRADO DE VAGEM,,CENOURA RALADA,MAÇÃ,REFRESCO DE FRAMBOESA
2024-10-10,10/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,LINGUIÇA,LINGUIÇA TOSCANA AO VINAGRETE,MACARRÃO  AO ALHO E ÓLEO,,REPOLHO BRANCO COM UVA PASSA,MAÇÃ,REFRESCO DE PÊSSEGO
2024-10-10,10/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,RU,SOJA,STEAK DE SOJA (RU),MACARRÃO INTEGRAL AO ALHO E ÓLEO,,REPOLHO BRANCO COM UVA PASSA,MAÇÃ,REFRESCO DE PÊSSEGO
2024-10-10,10/10/2024,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,RS/RA,OUTROS VEGANO,ALMÔNDEGA DE SOJA AO SUGO,MACARRÃO INTEGRAL AO ALHO E ÓLEO,,REPOLHO BRANCO COM UVA PASSA,MAÇÃ,REFRESCO DE PÊSSEGO
2024-10-10,10/10/2024,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,TODOS,CARNE DE FRANGO,FILEZINHO DE FRANGO GRATINADO,BATATA PALHA,,COUVE,TANGERINA,REFRESCO DE PÊSSEGO
2024-10-10,10/10/2024,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,TODOS,FEIJAO BRANCO,FEIJÃO BRANCO COM ABÓBORA,BATATA PALHA,,COUVE,TANGERINA,REFRESCO DE PÊSSEGO
2024-10-09,09/10/2024,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,RU,CARNE DE FRANGO,FRANGO ASSADO / ISCAS DE FRANGO (RU),POLENTA AO SUGO,,"PEPINO COM HORTELÃ (RU, RA e HC) / VAGEM COM TOMATE (RS) / ESCAROLA (RU)",BANANA / LARANJA (RU),REFRESCO DE MORANGO
