date,date,refeicao,acompanhamento,restaurante,,prato,guarnicao,opcao_vegetal,salada,sobremesa,suco
2025-08-10,10/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,"PTS COM ERVILHA, MILHO E CARÁ",ABOBRINHA REFOGADA,,SALADA DE COUVE,MAÇÃ,REFRESCO DE UVA
2025-08-09,09/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,ISCAS DE FRANGO AO MOLHO FERRUGEM,CENOURA SAUTÉ,,SALADA DE ALFACE,BARRA DE CEREAL,REFRESCO DE ABACAXI
2025-08-09,09/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,LENTILHA GRATINADA COM BATATA DOCE,CENOURA SAUTÉ,,SALADA DE ALFACE,BARRA DE CEREAL,REFRESCO DE ABACAXI
2025-08-09,09/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,CARNE DE PANELA COM TOMATE,BRÓCOLIS REFOGADO,,SALADA DE CHICÓRIA COM NABO,LARANJA,REFRESCO DE ABACAXI
2025-08-09,09/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,SOJA COM MANDIOQUINHA AO SUGO,BRÓCOLIS REFOGADO,,SALADA DE CHICÓRIA COM NABO,LARANJA,REFRESCO DE ABACAXI
2025-08-08,08/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,CUBOS SUÍNOS AO MOLHO BARBECUE,VIRADO DE ESCAROLA,,SALADA DE BETERRABA RALADA,TANGERINA,REFRESCO DE LIMÃO
2025-08-08,08/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,QUIBE DE GRÃO DE BICO E PTS,VIRADO DE ESCAROLA,,SALADA DE BETERRABA RALADA,TANGERINA,REFRESCO DE LIMÃO
2025-08-08,08/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,TILÁPIA NA SALSA,ABÓBORA JAPONESA,,SALADA DE ACELGA,BANANA,REFRESCO DE LIMÃO
2025-08-08,08/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,BERINJELA GRATINADA COM PTS,ABÓBORA JAPONESA,,SALADA DE ACELGA,BANANA,REFRESCO DE LIMÃO
2025-08-07,07/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,ISCAS DE CARNE AO MOLHO ESCURO (RU),REFOGADO DE LEGUMES (RA/HC) | PURÊ DE BATATA  (RU/RS),,SALADA MIX DE ALFACE,MAÇÃ,REFRESCO DE PÊSSEGO
2025-08-07,07/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,PTS COM CHUCHU AO MOLHO ESCURO,REFOGADO DE LEGUMES,,SALADA MIX DE ALFACE,MAÇÃ,REFRESCO DE PÊSSEGO
2025-08-07,07/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,SOBRECOXA DE FRANGO ENSOPADA,COUVE REFOGADA,,SALADA DE REPOLHO,GOIABADA,REFRESCO DE PÊSSEGO
2025-08-07,07/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,TORTA DE LENTILHA COM ESCAROLA,COUVE REFOGADA,,SALADA DE REPOLHO,GOIABADA,REFRESCO DE PÊSSEGO
2025-08-06,06/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,FILEZINHO DE FRANGO ACEBOLADO,ABÓBORA CABOTIA REFOGADA,,SALADA DE ALFACE COM REPOLHO,BANANA,REFRESCO DE MORANGO
2025-08-06,06/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,"SOJA EM GRÃOS AO SUGO COM AZEITONAS, MILHO E CENOURA",ABÓBORA CABOTIA REFOGADA,,SALADA DE ALFACE COM REPOLHO,BANANA,REFRESCO DE MORANGO
2025-08-06,06/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,BISTECA SUÍNA AO MOLHO ESCURO,CHUCHU NA SALSA,,CENOURA RALADA,LARANJA,REFRESCO DE MORANGO
2025-08-06,06/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,ERVILHA COM GRÃOS DE TRIGO E COUVE-FLOR GRATINADOS,CHUCHU NA SALSA,,CENOURA RALADA,LARANJA,REFRESCO DE MORANGO
