,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/fev.,2184,733,0,2917,,1149,325,,1474
2/fev.,2335,801,0,3136,,990,249,,1239
3/fev.,,,,0,,,,,0
4/fev.,,,,0,,,,,0
5/fev.,1933,631,403,2967,,1279,336,162,1777
6/fev.,2006,699,419,3124,,1268,334,177,1779
7/fev.,2073,722,460,3255,,1153,282,148,1583
8/fev.,1286,455,282,2023,,1179,304,155,1638
9/fev.,1954,553,393,2900,,651,114,54,819
10/fev.,,,,0,,,,,0
11/fev.,,,,0,,,,,0
12/fev.,,,,0,,,,,0
13/fev.,,,,0,,,,,0
14/fev.,,,,0,,,,,0
15/fev.,1951,573,360,2884,,1129,270,103,1502
16/fev.,1983,609,378,2970,,1025,239,88,1352
17/fev.,,,,0,,,,,0
18/fev.,,,,0,,,,,0
19/fev.,2122,700,460,3282,,1319,325,183,1827
20/fev.,2504,794,607,3905,,1428,351,150,1929
21/fev.,2365,765,520,3650,,1463,367,210,2040
22/fev.,2450,706,566,3722,,1448,344,142,1934
23/fev.,2226,681,460,3367,,1164,252,141,1557
24/fev.,,,,0,,,,,0
25/fev.,,,,0,,,,,0
26/fev.,2652,847,552,4051,,2095,469,248,2812
27/fev.,2959,885,655,4499,,2100,527,272,2899
28/fev.,4112,1155,1384,6651,,2200,559,386,3145
29/fev.,3708,1253,1364,6325,,2508,725,555,3788
