,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/jul.,3307,1192,1329,5828,,1259,312,344,1915
2/jul.,1123,1112,1123,3358,,473,476,473,1422
3/jul.,3090,1079,1241,5410,,1962,493,489,2944
4/jul.,2477,808,846,4131,,1740,380,392,2512
5/jul.,,,860,860,,0,,632,632
6/jul.,,,1255,1255,,0,,0,0
7/jul.,2273,840,841,3954,,1311,321,290,1922
8/jul.,1478,454,487,2419,,1207,294,249,1750
9/jul.,0,,1627,1627,,0,,0,0
10/jul.,1820,598,689,3107,,1073,318,263,1654
11/jul.,1614,595,649,2858,,539,149,138,826
12/jul.,,,1045,1045,,0,,525,525
13/jul.,,,847,847,,0,,0,0
14/jul.,2320,794,,3114,,1373,353,,1726
15/jul.,2549,890,,3439,,1290,380,,1670
16/jul.,1516,462,,1978,,1280,336,,1616
17/jul.,2433,863,,3296,,627,119,,746
18/jul.,1808,553,,2361,,973,266,,1239
19/jul.,1360,,,1360,,487,,,487
20/jul.,768,,,768,,0,,,0
21/jul.,1777,673,,2450,,1100,294,,1394
22/jul.,1780,693,,2473,,1090,287,,1377
23/jul.,1936,705,,2641,,1024,293,,1317
24/jul.,1686,621,244,2551,,539,110,64,713
25/jul.,1782,555,417,2754,,862,194,90,1146
26/jul.,0,,858,858,,0,,518,518
27/jul.,0,,799,799,,0,,0,0
28/jul.,1509,625,422,2556,,598,178,101,877
29/jul.,1825,691,454,2970,,1085,311,146,1542
30/jul.,1931,628,514,3073,,1059,244,160,1463
31/jul.,1926,699,563,3188,,1185,307,169,1661
